sample_id,ena_analysis
AN0196-C,ERZ1696064
AN0197-Cx,ERZ1696065
AN0198-C,ERZ1696066
AN0199-C,ERZ1696067
AN0200-C,ERZ1696068
AN0201-Cx,ERZ1696069
AN0202-Cx,ERZ1696070
AN0203-Cx,ERZ1696071
AN0204-C,ERZ1696072
AN0205-C,ERZ1696073
AN0206-C,ERZ1696074
AN0207-C,ERZ1696075
AN0208-C,ERZ1696076
AN0209-C,ERZ1696077
AN0210-Cx,ERZ1696078
AN0212-C,ERZ1696079
AN0213-C,ERZ1696080
AN0214-C,ERZ1696081
AN0215-C,ERZ1696082
AN0217-C,ERZ1696083
AN0218-C,ERZ1696084
AN0219-C,ERZ1696085
AN0220-C,ERZ1696086
AN0221-C,ERZ1696087
AN0222-Cx,ERZ1696088
AN0223-C,ERZ1696089
AN0224-Cx,ERZ1696090
AN0225-Cx,ERZ1696091
AN0226-Cx,ERZ1696092
AN0227-Cx,ERZ1696093
AN0228-C,ERZ1696094
AN0229-Cx,ERZ1696095
AN0230-Cx,ERZ1696096
AN0231-Cx,ERZ1696097
AN0232-C,ERZ1696098
AN0233-C,ERZ1696099
AN0234-C,ERZ1696100
AN0235-C,ERZ1696101
AN0236-Cx,ERZ1696102
AN0237-Cx,ERZ1696103
AN0238-C,ERZ1696104
AN0239-C,ERZ1696105
AN0240-C,ERZ1696106
AN0241-C,ERZ1696107
AN0242-C,ERZ1696108
AN0243-C,ERZ1696109
AN0244-C,ERZ1696110
AN0245-C,ERZ1696111
AN0246-C,ERZ1696112
AN0247-C,ERZ1696113
AN0248-C,ERZ1696114
AN0250-C,ERZ1696115
AN0251-C,ERZ1696116
AN0252-C,ERZ1696117
AN0253-C,ERZ1696118
AN0254-C,ERZ1696119
AN0255-C,ERZ1696120
AN0256-C,ERZ1696121
AN0258-C,ERZ1696122
AN0259-Cx,ERZ1696123
AN0260-C,ERZ1696124
AN0261-Cx,ERZ1696125
AN0262-C,ERZ1696126
AN0263-Cx,ERZ1696127
AN0264-C,ERZ1696128
AN0265-C,ERZ1696129
AN0266-C,ERZ1696130
AN0267-Cx,ERZ1696131
AN0268-C,ERZ1696132
AN0269-C,ERZ1696133
AN0270-C,ERZ1696134
AN0271-C,ERZ1696135
AN0272-C,ERZ1696136
AN0275-C,ERZ1696137
AN0276-C,ERZ1696138
AN0277-C,ERZ1696139
AN0278-C,ERZ1696140
AN0279-C,ERZ1696141
AN0280-C,ERZ1696142
AN0281-C,ERZ1696143
AN0282-Cx,ERZ1696144
AN0283-Cx,ERZ1696145
AN0284-Cx,ERZ1696146
AN0285-C,ERZ1696147
AN0286-Cx,ERZ1696148
AN0287-Cx,ERZ1696149
AN0288-Cx,ERZ1696150
AN0289-C,ERZ1696151
AN0290-Cx,ERZ1696152
AN0291-Cx,ERZ1696153
AN0292-C,ERZ1696154
AN0293-Cx,ERZ1696155
AN0294-C,ERZ1696156
AN0295-C,ERZ1696157
AN0296-Cx,ERZ1696158
AN0297-C,ERZ1696159
AN0298-Cx,ERZ1696160
AN0299-C,ERZ1696161
AN0300-C,ERZ1696162
AN0301-Cx,ERZ1696163
AN0302-C,ERZ1696164
AN0303-C,ERZ1696165
AN0304-C,ERZ1696166
AN0305-C,ERZ1696167
AN0306-C,ERZ1696168
AN0307-C,ERZ1696169
AN0308-C,ERZ1696170
AN0309-Cx,ERZ1696171
AN0310-C,ERZ1696172
AN0311-C,ERZ1696173
AN0312-C,ERZ1696174
AN0313-C,ERZ1696175
AN0314-C,ERZ1696176
AN0315-C,ERZ1696177
AN0316-C,ERZ1696178
AN0317-C,ERZ1696179
AN0318-C,ERZ1696180
AN0319-C,ERZ1696181
AN0320-C,ERZ1696182
AN0321-C,ERZ1696183
AB0293-C,ERZ1696184
AB0294-C,ERZ1696185
